ds	estimator	run	0	1	2	3	4
1	LogP0	1	34	33	33	34	33
1	LogP1	1	53	53	52	52	52
1	CLADE_INDICATOR	1	181	179	132	178	148
1	AvgRF0	1	26	26	26	26	26
1	AvgRF1	1	27	27	27	27	27
1	MAP_RF0	1	23	23	23	23	23
1	MAP_RF1	1	23	23	23	23	23
1	RAND_RF_MIN	1	19	19	18	19	19
1	RAND_RF_MEDIAN	1	25	23	24	23	24
1	MAP_RNNI0	1	79	79	80	79	77
1	MAP_RNNI1	1	79	79	80	79	77
1	RAND_RNNI_MIN	1	23	22	24	22	22
1	RAND_RNNI_MEDIAN	1	35	33	34	33	38
1	FrechetCorrelationESS	1	26	26	26	26	26
1	BinomESS_ML	1	39	33	55	36	46
1	BinomESS_Bayesian	1	46	47	45	42	39
1	LogP0	2	43	43	43	44	44
1	LogP1	2	57	56	56	57	60
1	CLADE_INDICATOR	2	165	106	165	133	135
1	AvgRF0	2	22	22	22	18	17
1	AvgRF1	2	16	16	16	16	16
1	MAP_RF0	2	19	19	19	19	19
1	MAP_RF1	2	17	16	16	17	17
1	RAND_RF_MIN	2	9	11	11	11	11
1	RAND_RF_MEDIAN	2	16	16	15	17	16
1	MAP_RNNI0	2	68	67	66	65	57
1	MAP_RNNI1	2	43	42	42	43	43
1	RAND_RNNI_MIN	2	13	14	13	13	14
1	RAND_RNNI_MEDIAN	2	27	26	23	26	29
1	FrechetCorrelationESS	2	16	16	16	16	16
2	LogP0	1	209	209	207	211	206
2	LogP1	1	241	240	236	237	233
2	CLADE_INDICATOR	1	310	309	288	272	244
2	AvgRF0	1	159	159	158	164	167
2	AvgRF1	1	164	164	163	168	171
2	MAP_RF0	1	76	76	77	79	83
2	MAP_RF1	1	218	220	218	221	215
2	RAND_RF_MIN	1	73	54	74	63	44
2	RAND_RF_MEDIAN	1	207	172	175	183	182
2	MAP_RNNI0	1	170	171	170	183	174
2	MAP_RNNI1	1	202	203	201	197	188
2	RAND_RNNI_MIN	1	36	31	28	37	23
2	RAND_RNNI_MEDIAN	1	114	94	86	107	89
2	FrechetCorrelationESS	1	129	130	128	122	132
2	BinomESS_ML	1	279	220	222	233	167
2	BinomESS_Bayesian	1	229	225	236	255	319
2	LogP0	2	215	219	217	211	199
2	LogP1	2	218	222	221	215	203
2	CLADE_INDICATOR	2	255	298	242	256	224
2	AvgRF0	2	184	186	183	180	175
2	AvgRF1	2	183	185	182	179	175
2	MAP_RF0	2	197	198	197	189	190
2	MAP_RF1	2	151	198	151	160	161
2	RAND_RF_MIN	2	130	142	137	136	127
2	RAND_RF_MEDIAN	2	220	222	208	220	210
2	MAP_RNNI0	2	124	124	123	120	125
2	MAP_RNNI1	2	154	124	151	147	152
2	RAND_RNNI_MIN	2	39	55	41	53	66
2	RAND_RNNI_MEDIAN	2	163	169	162	169	159
2	FrechetCorrelationESS	2	162	162	160	156	149
3	LogP0	1	160	160	159	161	148
3	LogP1	1	160	159	158	160	145
3	CLADE_INDICATOR	1	175	174	229	194	245
3	AvgRF0	1	134	134	134	135	122
3	AvgRF1	1	134	133	134	135	122
3	MAP_RF0	1	121	122	121	124	66
3	MAP_RF1	1	121	122	121	124	66
3	RAND_RF_MIN	1	52	52	52	50	47
3	RAND_RF_MEDIAN	1	118	120	119	123	96
3	MAP_RNNI0	1	74	74	74	74	74
3	MAP_RNNI1	1	74	74	74	74	74
3	RAND_RNNI_MIN	1	42	41	41	41	41
3	RAND_RNNI_MEDIAN	1	111	121	126	113	124
3	FrechetCorrelationESS	1	87	87	85	83	86
3	BinomESS_ML	1	634	504	533	387	431
3	BinomESS_Bayesian	1	593	635	700	648	330
3	LogP0	2	240	242	238	228	236
3	LogP1	2	239	241	237	228	235
3	CLADE_INDICATOR	2	206	251	254	236	198
3	AvgRF0	2	212	213	209	200	209
3	AvgRF1	2	212	213	209	200	209
3	MAP_RF0	2	172	174	172	170	168
3	MAP_RF1	2	172	174	172	170	168
3	RAND_RF_MIN	2	78	72	70	68	65
3	RAND_RF_MEDIAN	2	128	128	131	125	118
3	MAP_RNNI0	2	60	60	60	62	63
3	MAP_RNNI1	2	60	60	60	62	63
3	RAND_RNNI_MIN	2	54	60	56	58	53
3	RAND_RNNI_MEDIAN	2	115	117	107	107	109
3	FrechetCorrelationESS	2	93	93	93	91	88
4	LogP0	1	145	143	142	137	131
4	LogP1	1	182	180	181	158	151
4	CLADE_INDICATOR	1	201	197	174	187	178
4	AvgRF0	1	156	155	153	149	138
4	AvgRF1	1	159	158	156	152	141
4	MAP_RF0	1	167	167	166	163	145
4	MAP_RF1	1	167	167	166	163	145
4	RAND_RF_MIN	1	70	81	61	60	57
4	RAND_RF_MEDIAN	1	178	167	166	164	152
4	MAP_RNNI0	1	45	46	46	45	44
4	MAP_RNNI1	1	45	46	46	45	44
4	RAND_RNNI_MIN	1	34	39	37	44	40
4	RAND_RNNI_MEDIAN	1	86	93	85	89	93
4	FrechetCorrelationESS	1	120	121	119	115	111
4	BinomESS_ML	1	235	193	295	295	165
4	BinomESS_Bayesian	1	215	225	231	256	320
4	LogP0	2	62	62	62	61	61
4	LogP1	2	77	76	77	76	76
4	CLADE_INDICATOR	2	145	152	133	171	149
4	AvgRF0	2	60	60	60	60	59
4	AvgRF1	2	63	63	63	63	62
4	MAP_RF0	2	72	72	72	72	70
4	MAP_RF1	2	72	72	72	72	70
4	RAND_RF_MIN	2	60	61	60	66	61
4	RAND_RF_MEDIAN	2	80	83	82	81	79
4	MAP_RNNI0	2	40	40	40	40	39
4	MAP_RNNI1	2	40	40	40	40	39
4	RAND_RNNI_MIN	2	35	28	35	32	30
4	RAND_RNNI_MEDIAN	2	69	70	70	67	65
4	FrechetCorrelationESS	2	82	82	82	82	81
5	LogP0	1	44	44	44	45	46
5	LogP1	1	139	139	139	139	140
5	CLADE_INDICATOR	1	159	137	139	119	125
5	AvgRF0	1	33	33	33	34	35
5	AvgRF1	1	44	44	44	45	47
5	MAP_RF0	1	17	17	19	20	18
5	MAP_RF1	1	13	13	13	13	13
5	RAND_RF_MIN	1	11	8	10	13	10
5	RAND_RF_MEDIAN	1	29	30	37	34	35
5	MAP_RNNI0	1	20	20	12	12	33
5	MAP_RNNI1	1	10	9	9	9	9
5	RAND_RNNI_MIN	1	9	9	9	7	8
5	RAND_RNNI_MEDIAN	1	24	25	26	27	25
5	FrechetCorrelationESS	1	38	38	38	38	37
5	BinomESS_ML	1	110	139	116	105	74
5	BinomESS_Bayesian	1	115	118	109	110	104
5	LogP0	2	16	16	16	16	16
5	LogP1	2	53	53	52	52	96
5	CLADE_INDICATOR	2	133	149	134	125	120
5	AvgRF0	2	14	14	14	14	13
5	AvgRF1	2	15	15	15	15	15
5	MAP_RF0	2	17	17	17	17	17
5	MAP_RF1	2	17	17	17	17	17
5	RAND_RF_MIN	2	11	13	11	11	11
5	RAND_RF_MEDIAN	2	23	22	24	24	25
5	MAP_RNNI0	2	27	27	26	26	26
5	MAP_RNNI1	2	25	25	25	25	24
5	RAND_RNNI_MIN	2	15	10	16	12	15
5	RAND_RNNI_MEDIAN	2	30	28	30	29	29
5	FrechetCorrelationESS	2	36	36	36	36	35
6	LogP0	1	58	58	59	58	59
6	LogP1	1	81	80	82	80	83
6	CLADE_INDICATOR	1	174	157	193	184	146
6	AvgRF0	1	67	67	68	67	68
6	AvgRF1	1	64	63	64	64	64
6	MAP_RF0	1	95	94	100	100	96
6	MAP_RF1	1	95	94	100	100	96
6	RAND_RF_MIN	1	27	36	34	31	30
6	RAND_RF_MEDIAN	1	77	80	74	78	77
6	MAP_RNNI0	1	54	54	54	53	54
6	MAP_RNNI1	1	54	54	54	53	54
6	RAND_RNNI_MIN	1	23	22	24	17	20
6	RAND_RNNI_MEDIAN	1	69	70	64	68	69
6	FrechetCorrelationESS	1	68	68	68	68	66
6	BinomESS_ML	1	152	147	102	130	120
6	BinomESS_Bayesian	1	132	135	142	124	158
6	LogP0	2	32	31	31	31	32
6	LogP1	2	64	63	63	63	66
6	CLADE_INDICATOR	2	147	145	149	121	117
6	AvgRF0	2	20	20	20	20	20
6	AvgRF1	2	22	22	22	22	22
6	MAP_RF0	2	27	26	27	27	28
6	MAP_RF1	2	35	35	35	36	40
6	RAND_RF_MIN	2	16	15	14	14	16
6	RAND_RF_MEDIAN	2	28	29	27	27	29
6	MAP_RNNI0	2	51	51	51	51	50
6	MAP_RNNI1	2	58	58	58	59	62
6	RAND_RNNI_MIN	2	13	12	16	15	13
6	RAND_RNNI_MEDIAN	2	36	36	34	37	36
6	FrechetCorrelationESS	2	32	32	32	32	31
7	LogP0	1	113	113	114	117	126
7	LogP1	1	111	111	112	115	124
7	CLADE_INDICATOR	1	127	153	166	180	170
7	AvgRF0	1	104	104	104	108	115
7	AvgRF1	1	107	108	108	112	120
7	MAP_RF0	1	124	125	124	125	134
7	MAP_RF1	1	124	125	124	125	134
7	RAND_RF_MIN	1	33	41	31	40	27
7	RAND_RF_MEDIAN	1	81	82	82	83	79
7	MAP_RNNI0	1	43	44	44	43	42
7	MAP_RNNI1	1	43	44	44	43	42
7	RAND_RNNI_MIN	1	16	14	14	11	13
7	RAND_RNNI_MEDIAN	1	43	36	37	40	35
7	FrechetCorrelationESS	1	62	61	62	61	61
7	BinomESS_ML	1	404	428	580	457	431
7	BinomESS_Bayesian	1	475	485	807	636	324
7	LogP0	2	111	110	108	103	102
7	LogP1	2	109	108	107	102	99
7	CLADE_INDICATOR	2	158	168	165	172	178
7	AvgRF0	2	98	97	96	93	93
7	AvgRF1	2	98	97	96	94	94
7	MAP_RF0	2	87	87	81	81	77
7	MAP_RF1	2	82	82	82	82	78
7	RAND_RF_MIN	2	36	36	31	45	41
7	RAND_RF_MEDIAN	2	83	85	84	86	81
7	MAP_RNNI0	2	45	45	43	42	43
7	MAP_RNNI1	2	19	19	19	19	19
7	RAND_RNNI_MIN	2	8	8	8	8	9
7	RAND_RNNI_MEDIAN	2	18	21	19	16	20
7	FrechetCorrelationESS	2	69	69	70	69	67
8	LogP0	1	81	81	80	80	79
8	LogP1	1	115	114	113	113	110
8	CLADE_INDICATOR	1	115	109	121	129	118
8	AvgRF0	1	25	25	25	25	24
8	AvgRF1	1	27	27	28	27	27
8	MAP_RF0	1	64	64	64	63	67
8	MAP_RF1	1	64	64	64	63	67
8	RAND_RF_MIN	1	17	12	12	16	17
8	RAND_RF_MEDIAN	1	50	44	42	44	40
8	MAP_RNNI0	1	32	32	32	32	32
8	MAP_RNNI1	1	32	32	32	32	32
8	RAND_RNNI_MIN	1	17	11	20	14	14
8	RAND_RNNI_MEDIAN	1	46	44	40	46	41
8	FrechetCorrelationESS	1	40	40	39	39	39
8	BinomESS_ML	1	109	96	91	94	126
8	BinomESS_Bayesian	1	96	97	96	96	98
8	LogP0	2	67	67	67	66	64
8	LogP1	2	76	76	76	75	73
8	CLADE_INDICATOR	2	128	118	126	131	131
8	AvgRF0	2	58	58	58	57	57
8	AvgRF1	2	61	61	61	60	60
8	MAP_RF0	2	55	55	55	54	53
8	MAP_RF1	2	55	55	55	54	53
8	RAND_RF_MIN	2	32	31	43	34	47
8	RAND_RF_MEDIAN	2	65	64	67	66	68
8	MAP_RNNI0	2	63	63	63	63	60
8	MAP_RNNI1	2	63	63	63	63	60
8	RAND_RNNI_MIN	2	18	18	18	18	18
8	RAND_RNNI_MEDIAN	2	49	47	50	48	49
8	FrechetCorrelationESS	2	59	59	59	58	58
9	LogP0	1	56	56	55	55	55
9	LogP1	1	77	77	77	76	80
9	CLADE_INDICATOR	1	103	121	111	106	108
9	AvgRF0	1	44	44	44	43	43
9	AvgRF1	1	50	50	50	50	50
9	MAP_RF0	1	18	18	18	36	36
9	MAP_RF1	1	66	66	46	65	46
9	RAND_RF_MIN	1	10	7	9	8	10
9	RAND_RF_MEDIAN	1	30	26	30	29	27
9	MAP_RNNI0	1	12	12	12	11	11
9	MAP_RNNI1	1	13	13	14	13	15
9	RAND_RNNI_MIN	1	9	7	10	8	8
9	RAND_RNNI_MEDIAN	1	21	20	21	21	21
9	FrechetCorrelationESS	1	32	32	32	32	31
9	BinomESS_ML	1	107	136	96	90	70
9	BinomESS_Bayesian	1	115	118	105	113	105
9	LogP0	2	37	37	37	37	36
9	LogP1	2	80	80	79	78	70
9	CLADE_INDICATOR	2	124	120	130	135	127
9	AvgRF0	2	38	38	38	38	37
9	AvgRF1	2	38	37	38	37	36
9	MAP_RF0	2	59	59	59	58	56
9	MAP_RF1	2	83	83	83	47	65
9	RAND_RF_MIN	2	23	21	30	18	21
9	RAND_RF_MEDIAN	2	53	54	55	51	51
9	MAP_RNNI0	2	93	93	94	94	111
9	MAP_RNNI1	2	40	40	41	79	58
9	RAND_RNNI_MIN	2	14	19	12	10	9
9	RAND_RNNI_MEDIAN	2	41	43	39	45	43
9	FrechetCorrelationESS	2	64	64	64	64	63
10	LogP0	1	55	55	55	55	53
10	LogP1	1	79	78	78	77	76
10	CLADE_INDICATOR	1	124	111	114	105	105
10	AvgRF0	1	48	48	47	47	47
10	AvgRF1	1	55	55	54	54	54
10	MAP_RF0	1	57	57	56	55	55
10	MAP_RF1	1	24	24	24	24	24
10	RAND_RF_MIN	1	13	14	12	14	13
10	RAND_RF_MEDIAN	1	42	40	42	42	44
10	MAP_RNNI0	1	21	21	22	22	22
10	MAP_RNNI1	1	19	19	19	19	19
10	RAND_RNNI_MIN	1	9	9	8	9	7
10	RAND_RNNI_MEDIAN	1	24	24	25	22	24
10	FrechetCorrelationESS	1	38	38	38	38	38
10	BinomESS_ML	1	219	228	187	163	222
10	BinomESS_Bayesian	1	183	187	195	200	213
10	LogP0	2	41	41	41	41	41
10	LogP1	2	84	84	84	84	85
10	CLADE_INDICATOR	2	104	106	122	106	105
10	AvgRF0	2	45	45	44	44	45
10	AvgRF1	2	48	49	48	48	48
10	MAP_RF0	2	45	45	44	45	57
10	MAP_RF1	2	51	44	43	52	42
10	RAND_RF_MIN	2	21	25	19	21	23
10	RAND_RF_MEDIAN	2	49	48	46	48	48
10	MAP_RNNI0	2	55	55	55	54	53
10	MAP_RNNI1	2	55	55	55	54	54
10	RAND_RNNI_MIN	2	18	18	16	18	18
10	RAND_RNNI_MEDIAN	2	37	34	34	31	33
10	FrechetCorrelationESS	2	42	42	42	42	41
11	LogP0	1	45	45	44	44	45
11	LogP1	1	127	126	122	123	115
11	CLADE_INDICATOR	1	122	113	105	99	106
11	AvgRF0	1	34	34	34	34	35
11	AvgRF1	1	39	39	38	39	39
11	MAP_RF0	1	49	49	48	48	53
11	MAP_RF1	1	53	53	52	53	55
11	RAND_RF_MIN	1	26	13	25	25	14
11	RAND_RF_MEDIAN	1	48	48	54	50	48
11	MAP_RNNI0	1	28	28	28	28	31
11	MAP_RNNI1	1	40	40	41	41	42
11	RAND_RNNI_MIN	1	12	10	12	10	11
11	RAND_RNNI_MEDIAN	1	28	30	31	30	32
11	FrechetCorrelationESS	1	56	56	56	56	56
11	BinomESS_ML	1	201	201	179	126	126
11	BinomESS_Bayesian	1	204	205	194	179	157
11	LogP0	2	50	50	50	49	48
11	LogP1	2	177	175	172	158	153
11	CLADE_INDICATOR	2	114	115	103	122	107
11	AvgRF0	2	59	59	59	59	59
11	AvgRF1	2	76	76	76	77	78
11	MAP_RF0	2	64	64	64	64	69
11	MAP_RF1	2	40	40	39	39	42
11	RAND_RF_MIN	2	24	15	19	16	14
11	RAND_RF_MEDIAN	2	53	53	52	54	53
11	MAP_RNNI0	2	16	16	16	16	26
11	MAP_RNNI1	2	17	17	17	17	18
11	RAND_RNNI_MIN	2	12	11	13	8	9
11	RAND_RNNI_MEDIAN	2	29	28	30	28	29
11	FrechetCorrelationESS	2	56	56	56	56	56
